iter	RMSE
403	0.2492807963
404	0.2492591901
405	0.2492196879
406	0.2491263703
407	0.2491238699
408	0.248984985
409	0.2489246405
410	0.2489058647
411	0.2488632179
412	0.2488351792
413	0.2487532069
414	0.2487002534
415	0.2486121354
416	0.2485868032
417	0.2485834334
418	0.2485127466
419	0.2484676164
420	0.2484051237
421	0.2483890555
422	0.2483538196
423	0.2483266556
424	0.248303767
425	0.2482654598
426	0.2482633283
427	0.2482440686
428	0.2481895027
429	0.2481263483
430	0.2480453858
431	0.2479338719
432	0.2478970356
433	0.2478481111
434	0.2477959721
435	0.2476767897
436	0.2476194584
437	0.247561986
438	0.2474759878
439	0.2474141527
440	0.2473731699
441	0.2473214827
442	0.2472652082
443	0.2471821578
444	0.2471177193
445	0.2471147236
446	0.2470921424
447	0.2470560045
448	0.2469871496
449	0.2469600886
450	0.2468423297
451	0.2467874976
452	0.246739057
453	0.246664677
454	0.2465903426
455	0.2465476646
456	0.2464639931
457	0.246431358
458	0.2463784587
459	0.2463538379
460	0.2463141138
461	0.2462854609
462	0.2462528534
463	0.2462040807
464	0.2461756659
465	0.2461350085
466	0.24602225
467	0.2459973294
468	0.2459493127
469	0.2458907474
470	0.2458407801
471	0.2457769393
472	0.2457344375
473	0.2457290409
474	0.2457204186
475	0.2456975365
476	0.2455941968
477	0.2454831708
478	0.2454413291
479	0.2453675432
480	0.2452810376
481	0.2452204481
482	0.2451644495
483	0.245152805
484	0.2451496142
485	0.2451379107
486	0.2451240096
487	0.24505628
488	0.2450476535
489	0.2450097472
490	0.2449582579
491	0.2449547623
492	0.2449186047
493	0.2448366728
494	0.2448163283
495	0.2447873698
496	0.2447132025
497	0.2446703509
498	0.2446547259
499	0.2446154833
500	0.2445516063
501	0.244461884
502	0.2443843883
503	0.244347805
504	0.244293275
505	0.2441843904
506	0.2441817994
507	0.2441788311
508	0.2441160686
509	0.2441090565
510	0.2440851905
511	0.2439955715
512	0.2439316726
513	0.2438818827
514	0.2438726537
515	0.2437963022
516	0.2437707091
517	0.2437436969
518	0.2436865587
519	0.2436393579
520	0.2435667289
521	0.2435454023
522	0.2435013309
523	0.2434174004
524	0.2433593458
525	0.2433396097
526	0.2432265344
527	0.2432220784
528	0.2431797617
529	0.2431378641
530	0.243135388
531	0.2431315834
532	0.243037401
533	0.242992205
534	0.2429525113
535	0.2429097135
536	0.242907112
537	0.2428845459
538	0.2428818398
539	0.2428427642
540	0.2427756371
541	0.2427410151
542	0.2426609107
543	0.2425955627
544	0.2425512776
545	0.2425292744
546	0.2425252095
547	0.2424769697
548	0.2424338069
549	0.2423967749
550	0.2423452734
551	0.2422846995
552	0.2422087089
553	0.2421361029
554	0.2420817695
555	0.2420462109
556	0.2419727747
557	0.241909198
558	0.2418631322
559	0.241799761
560	0.2417688883
561	0.2417395245
562	0.2416953601
563	0.2416605573
564	0.2415593981
565	0.2415338527
566	0.2414335424
567	0.241421628
568	0.2413821941
569	0.2413796528
570	0.2413457187
571	0.2413146891
572	0.2412824925
573	0.2411960263
574	0.2411591152
575	0.2411267054
576	0.2410730047
577	0.2410445559
578	0.2409745379
579	0.2409319259
580	0.2408928755
581	0.2408372464
582	0.2408154825
583	0.2407624446
584	0.2407355002
585	0.240669196
586	0.2406544798
587	0.2405950033
588	0.2405388625
589	0.2404947557
590	0.2404541341
591	0.2404003579
592	0.2403511006
593	0.240329401
594	0.2402942151
595	0.2402267931
596	0.2402180636
597	0.2401762117
598	0.2401187972
599	0.2400872948
600	0.2400620327
601	0.2400607033
602	0.2400388121
603	0.240006648
604	0.2399514144
605	0.2399475815
606	0.2399063352
607	0.239881007
608	0.2398463428
609	0.2397725012
610	0.2397409344
611	0.2396829973
612	0.239621259
613	0.2395894511
614	0.2395561561
615	0.2395443782
616	0.2395215697
617	0.239495774
618	0.2394211945
619	0.2393921403
620	0.2393498102
621	0.2392951165
622	0.2392514212
623	0.2391906073
624	0.2391751251
625	0.2391602521
626	0.2391067796
627	0.239051724
628	0.2389738259
629	0.2388864277
630	0.2388657087
631	0.2388631744
632	0.2388222872
633	0.2387677495
634	0.238750819
635	0.238695126
636	0.2386442044
637	0.2386272642
638	0.2385856949
639	0.2385478373
640	0.2384860683
641	0.238390881
642	0.2383771147
643	0.2383310311
644	0.238297273
645	0.2382611072
646	0.2381974116
647	0.2381742227
648	0.2381601653
649	0.2381083332
650	0.2380768676
651	0.2380419791
652	0.2380187572
653	0.2379799698
654	0.2379665604
655	0.2379336019
656	0.2378819143
657	0.2378482411
658	0.2377988686
659	0.2377768008
660	0.2376997647
661	0.2376729066
662	0.2376546826
663	0.2376273215
664	0.2376243861
665	0.2375933386
666	0.2375411251
667	0.237497338
668	0.2374180939
669	0.2373541406
670	0.2372762537
671	0.2372477635
672	0.2372424923
673	0.2371673882
674	0.2371416307
675	0.2370956234
676	0.2370479017
677	0.2370071351
678	0.2369519565
679	0.2369236698
680	0.2369184286
681	0.2368839521
682	0.2368101697
683	0.2367765533
684	0.2367260911
685	0.2366678271
686	0.2365799289
687	0.2365750817
688	0.2364756061
689	0.236431873
690	0.2364292452
691	0.236412091
692	0.2363479291
693	0.2362858402
694	0.2362840091
695	0.2362271895
696	0.2362042223
697	0.2361671837
698	0.2361533284
699	0.2361195209
700	0.2360907227
701	0.2360477566
702	0.2360116222
703	0.2359609638
704	0.2358828504
705	0.2358709344
706	0.2358629021
707	0.2357806423
708	0.2357000562
709	0.2356421803
710	0.2356029603
711	0.2355609808
712	0.2355457274
713	0.2354955021
714	0.2354843773
715	0.2354168817
716	0.2353741689
717	0.2353616031
718	0.2353130407
719	0.2352807066
720	0.2352712656
721	0.2352320935
722	0.2351112118
723	0.2350818455
724	0.2350414208
725	0.2349992769
726	0.2349785052
727	0.2349736792
728	0.234944814
729	0.2349245212
730	0.234870613
731	0.2348462691
732	0.2348132211
733	0.2347820942
734	0.2347433517
735	0.2346988192
736	0.2346195236
737	0.234556334
738	0.2345306494
739	0.2345293249
740	0.234492293
741	0.2344911725
742	0.2344603354
743	0.2344312023
744	0.2343957279
745	0.2343435162
746	0.2343317632
747	0.2343009314
748	0.2342869229
749	0.2342725974
750	0.234247774
751	0.2341890854
752	0.2341695529
753	0.2341413566
754	0.2340652308
755	0.2340352062
756	0.2340084986
757	0.2340057062
758	0.2339868381
759	0.2339536951
760	0.2339397133
761	0.2338785028
762	0.2338551063
763	0.2338536651
764	0.2338133707
765	0.2337475666
766	0.2337329015
767	0.2336874318
768	0.2336549511
769	0.2336098837
770	0.2335594653
771	0.2335321811
772	0.2334906986
773	0.2334430529
774	0.2334198872
775	0.2334000206
776	0.2333757691
777	0.2333238189
778	0.2333139335
779	0.2332971109
780	0.2332818686
781	0.2332470502
782	0.2332174069
783	0.2331606874
784	0.233149641
785	0.2331173076
786	0.233076235
787	0.2330108277
788	0.2329688215
789	0.2329104558
790	0.2329055561
791	0.2328564972
792	0.2327792128
793	0.2327484166
794	0.2327168109
795	0.2327047614
796	0.2326938433
797	0.232649953
798	0.2326217404
799	0.2325333391
800	0.2324466116
801	0.232367705
802	0.2323369936
803	0.2322986607
804	0.2322892835
805	0.2322632973
806	0.232247422
807	0.2322141928
808	0.2321243963
809	0.2320693418
810	0.2320292913
811	0.2319812067
812	0.2319650938
813	0.2319223888
814	0.2319044989
815	0.2318298475
816	0.2317595375
817	0.2317209667
818	0.2316745805
819	0.2316517179
820	0.2315827701
821	0.2315650131
822	0.2315153862
823	0.2314905859
824	0.2314293371
825	0.2314271875
826	0.2314200172
827	0.2314115821
828	0.2312952098
829	0.231234798
830	0.2312272239
831	0.2311612466
832	0.2311186881
833	0.23110413
834	0.2310698846
835	0.2310412345
836	0.2310098133
837	0.2309765898
838	0.2309609003
839	0.2309306427
840	0.2308899994
841	0.230874718
842	0.2308209849
843	0.2307745128
844	0.230755653
845	0.2307114947
846	0.2306582521
847	0.2306292725
848	0.2305821963
849	0.2305488485
850	0.2305369171
851	0.2305047599
852	0.2304961617
853	0.2304653277
854	0.23046305
855	0.230424056
856	0.2304085108
857	0.2303914225
858	0.230388326
859	0.2303709329
860	0.2303218245
861	0.230319214
862	0.2302940022
863	0.2302933061
864	0.2302021057
865	0.2301657177
866	0.2301253911
867	0.230102838
868	0.2300671744
869	0.230048109
870	0.2300301885
871	0.2299988097
872	0.2299353637
873	0.2298991846
874	0.2298762205
875	0.2298381015
876	0.2298127697
877	0.2297590978
878	0.229752905
879	0.2297361393
880	0.2296636322
881	0.229649681
882	0.2295867077
883	0.2295693402
884	0.229492343
885	0.229421744
886	0.2293958042
887	0.2292769946
888	0.2292333596
889	0.2291740831
890	0.2291631544
891	0.2291251788
892	0.2291063161
893	0.2290659217
894	0.2290222176
895	0.2289968623
896	0.2289560624
897	0.2289187668
898	0.2289123541
899	0.2288878288
900	0.2288197923
901	0.2287872239
902	0.228757091
903	0.2287360559
904	0.2286888024
905	0.2286605046
906	0.2286444458
907	0.2286134556
908	0.2285758104
909	0.2285219768
910	0.228502308
911	0.2284413167
912	0.2283956787
913	0.228334847
914	0.2283241639
915	0.2282680592
916	0.2282094826
917	0.2281886279
918	0.2281613915
919	0.2281388434
920	0.2280798373
921	0.2280508641
922	0.228048144
923	0.2280209261
924	0.2280120886
925	0.2279835889
926	0.2279749641
927	0.2279137315
928	0.2278547145
929	0.2277497056
930	0.2277169706
931	0.2276850025
932	0.2276562914
933	0.2276542639
934	0.2276122622
935	0.2275691725
936	0.2275392455
937	0.2274652098
938	0.2274389148
939	0.2274075232
940	0.2273298411
941	0.2272792712
942	0.2272612233
943	0.2272002686
944	0.2271826541
945	0.2271716566
946	0.2271411401
947	0.227122912
948	0.2270962751
949	0.2270779295
950	0.2270053757
951	0.2269920638
952	0.2269647681
953	0.2269487191
954	0.2269091975
955	0.2268581648
956	0.2268413119
957	0.2267888783
958	0.2267806277
959	0.22677124
960	0.2267572041
961	0.2267513254
962	0.2267432408
963	0.2267075347
964	0.2266814424
965	0.2266527032
966	0.2266206981
967	0.22658363
968	0.226554527
969	0.2265281456
970	0.2265170318
971	0.2264647241
972	0.2264559095
973	0.2264324669
974	0.2264319834
975	0.2264295332
976	0.2264237519
977	0.2263659918
978	0.2263401577
979	0.2262696992
980	0.2262381977
981	0.2262221622
982	0.2261840134
983	0.2261799278
984	0.2261597449
985	0.226126791
986	0.2261167327
987	0.2260943283
988	0.226038431
989	0.2260227153
990	0.2260135711
991	0.2260131984
992	0.2259802092
993	0.2259423331
994	0.2258598263
995	0.2258091997
996	0.2257748554
997	0.2257571439
998	0.2257132091
999	0.2256755791
