Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Banyo_Sayısı
78.0,100.0,3.0,9.Kat,0,0.0,Kombi Doğalgaz,14.220976332738882,adana,9.0,Boş,1,1,1.0
76.0,100.0,3.0,1.Kat,0,0.0,Kombi Doğalgaz,14.11561589115508,adana,9.0,Boş,1,1,1.0
76.0,100.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.346139397261563,adana,9.0,Boş,1,1,1.0
160.0,210.0,5.0,1.Kat,0,0.0,Kombi Doğalgaz,15.226497775576943,adana,9.0,Boş,1,0,2.0
125.0,165.0,3.0,Müstakil,0,0.0,Diğer,14.690979711984754,adana,1.0,Boş,1,0,1.0
160.0,220.0,4.0,4.Kat,0,5.0,Klimalı,14.978661680269909,adana,8.0,Kiracı Oturuyor,1,0,1.0
100.0,120.0,3.0,30.Kat,0,5.0,Klimalı,15.024471202308668,adana,3.0,Boş,0,0,1.0
85.0,120.0,3.0,2.Kat,0,2.0,Klimalı,14.761360480429412,adana,8.0,Boş,0,0,2.0
80.0,88.0,3.0,5.Kat,0,3.0,Diğer,14.220976332738882,adana,5.999999999999999,Boş,0,0,1.0
85.0,125.00000000000004,5.0,7.Kat,0,1.0,Klimalı,14.648420115681892,adana,14.0,Boş,0,0,2.0
170.0,240.0,5.0,11.Kat,0,2.0,Kombi Doğalgaz,15.345905479508115,adana,12.0,Mülk Sahibi Oturuyor,0,0,2.0
150.0,175.0,4.0,Yüksek Giriş,0,3.0,Kombi Doğalgaz,14.690979711984754,adana,9.0,Kiracı Oturuyor,1,0,1.0
93.0,110.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.151983508870948,adana,5.0,Boş,0,0,1.0
90.0,110.0,3.0,15.Kat,0,2.0,Kombi Doğalgaz,13.972515161474428,adana,15.0,Boş,0,0,1.0
125.0,145.0,4.0,5.Kat,0,1.0,Kombi Doğalgaz,14.557448378884017,adana,8.0,Boş,1,1,2.0
90.0,95.0,3.0,Düz Giriş (Zemin),0,2.0,Diğer,13.997832948091215,adana,15.0,Boş,1,0,2.0
65.0,85.0,3.0,5.Kat,0,2.0,Klimalı,13.88317014101709,adana,5.0,Kiracı Oturuyor,0,1,1.0
240.00000000000003,250.0,5.0,6.Kat,0,4.0,Kombi Doğalgaz,15.137266664613223,adana,12.0,Boş,0,1,2.0
120.0,170.0,4.0,7.Kat,0,2.0,Kombi Doğalgaz,14.89051332229012,adana,12.0,Boş,1,0,2.0
125.0,150.0,5.0,3.Kat,0,5.0,Diğer,14.508658238524095,adana,3.0,Boş,0,0,1.0
110.0,120.0,4.0,6.Kat,0,3.0,Kombi Doğalgaz,14.648420115681892,adana,10.0,Kiracı Oturuyor,1,0,1.0
165.0,180.0,4.0,9.Kat,0,3.0,Klimalı,14.790070575320824,adana,9.0,Boş,1,0,1.0
135.0,159.99999999999997,4.0,8.Kat,0,5.0,Kombi Doğalgaz,14.77102238760702,adana,13.0,Mülk Sahibi Oturuyor,0,0,1.0
120.0,140.0,4.0,Yüksek Giriş,0,0.0,Kombi Doğalgaz,14.467836264837162,adana,5.0,Boş,0,0,2.0
105.0,120.0,3.0,6.Kat,0,0.0,Kombi Doğalgaz,14.71770277113836,adana,14.0,Boş,1,0,2.0
230.0,250.0,5.0,4.Kat,0,2.0,Kombi Doğalgaz,15.72505321099685,adana,3.0,Boş,0,0,2.0
130.0,165.0,4.0,14.Kat,0,1.0,Kombi Doğalgaz,14.862829903121966,adana,15.0,Kiracı Oturuyor,1,0,2.0
85.0,130.0,3.0,Düz Giriş (Zemin),0,4.0,Klimalı,14.030622744032506,adana,4.0,Kiracı Oturuyor,1,0,1.0
130.0,165.0,4.0,4.Kat,0,2.0,Kombi Doğalgaz,14.580978865220017,adana,5.999999999999999,Boş,1,0,2.0
115.0,120.0,8.0,3.Kat,0,3.0,Sobalı,14.962913328262085,adana,2.0,Mülk Sahibi Oturuyor,0,0,2.0
90.0,120.0,3.0,8.Kat,1,2.0,Kombi Doğalgaz,14.51860856442677,adana,12.0,Boş,0,1,2.0
135.0,155.0,4.0,6.Kat,0,4.0,Kombi Doğalgaz,15.024471202308668,adana,11.0,Boş,0,0,2.0
100.0,110.0,3.0,5.Kat,0,5.0,Klimalı,14.316286451937186,adana,2.0,Kiracı Oturuyor,0,0,2.0
80.0,100.0,3.0,2.Kat,0,1.0,Kombi Doğalgaz,14.207553321415745,adana,5.0,Kiracı Oturuyor,1,0,2.0
130.0,150.0,4.0,1.Kat,0,0.0,Kombi Doğalgaz,14.25376613405651,adana,4.0,Boş,0,1,2.0
65.0,85.0,3.0,12.Kat,1,1.0,Klimalı,14.54547219357453,adana,12.0,Boş,0,1,1.0
100.0,115.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.328334783195157,adana,13.0,Boş,0,1,1.0
100.0,120.0,4.0,5.Kat,0,0.0,Kombi Doğalgaz,14.50112997588164,adana,11.0,Boş,0,1,2.0
120.0,145.0,4.0,18.Kat,0,2.0,Kombi Doğalgaz,14.897316067298997,adana,3.0,Mülk Sahibi Oturuyor,0,0,1.0
64.0,94.0,3.0,2.Kat,0,1.0,Kombi Doğalgaz,13.955273369904273,adana,8.0,Kiracı Oturuyor,0,1,1.0
82.0,102.0,3.0,6.Kat,0,1.0,Kombi Doğalgaz,14.375126917328108,adana,5.999999999999999,Mülk Sahibi Oturuyor,1,0,1.0
125.0,135.0,4.0,4.Kat,0,2.0,Kombi Doğalgaz,15.046612321649224,adana,4.0,Mülk Sahibi Oturuyor,1,0,2.0
98.0,105.0,3.0,1.Kat,0,1.0,Klimalı,14.53335083891935,adana,13.0,Kiracı Oturuyor,1,0,2.0
88.0,120.0,3.0,6.Kat,0,0.0,Kombi Doğalgaz,14.71770277113836,adana,14.0,Boş,1,0,2.0
85.0,120.0,3.0,6.Kat,0,1.0,Kombi Doğalgaz,14.71770277113836,adana,14.0,Boş,1,0,2.0
70.0,90.0,3.0,9.Kat,0,1.0,Kombi Doğalgaz,14.506155109559108,adana,9.0,Kiracı Oturuyor,1,0,2.0
85.0,135.0,3.0,10.Kat,0,1.0,Kombi Doğalgaz,14.23750562376114,adana,15.0,Kiracı Oturuyor,1,0,2.0
135.0,195.0,4.0,2.Kat,0,5.0,Klimalı,14.954945161152589,adana,9.0,Kiracı Oturuyor,0,0,1.0
210.0,220.0,4.0,5.Kat,0,3.0,Diğer,14.978661680269909,adana,5.999999999999999,Mülk Sahibi Oturuyor,0,0,1.0
130.0,150.0,4.0,9.Kat,0,1.0,Kombi Doğalgaz,15.92572387952298,adana,3.0,Kiracı Oturuyor,0,0,2.0
80.0,90.0,3.0,12.Kat,0,4.0,Kombi Doğalgaz,14.038654909278163,adana,12.0,Boş,0,0,1.0
250.0,300.0,5.499999999999999,Müstakil,0,4.0,Klimalı,14.827111833279051,adana,2.0,Boş,1,0,2.0
140.0,200.0,5.0,30.Kat,0,0.0,Kombi Doğalgaz,15.830413711839862,adana,2.0,Boş,1,1,2.0
190.0,210.0,5.0,8.Kat,0,2.0,Kombi Doğalgaz,14.626441218624947,adana,11.0,Boş,1,0,2.0
110.0,215.0,7.0,Bahçe Dublex,0,4.0,Klimalı,15.137266664613223,adana,3.0,Mülk Sahibi Oturuyor,1,1,2.0
78.0,100.0,3.0,Yüksek Giriş,0,0.0,Kombi Doğalgaz,14.220976332738882,adana,9.0,Boş,1,1,1.0
76.0,100.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.220976332738882,adana,9.0,Boş,1,1,1.0
78.0,100.0,3.0,6.Kat,0,0.0,Kombi Doğalgaz,14.375126917328108,adana,9.0,Boş,1,1,1.0
210.0,250.0,5.0,14.Kat,0,4.0,Kombi Doğalgaz,15.949677117676544,adana,15.0,Boş,1,0,3.0
54.99999999999999,60.0,2.0,5.Kat,1,1.0,Klimalı,14.25376613405651,adana,13.0,Boş,1,0,1.0
100.0,155.0,4.0,11.Kat,0,2.0,Kombi Doğalgaz,14.555064588665228,adana,15.0,Boş,1,1,1.0
54.99999999999999,65.0,2.0,5.Kat,1,2.0,Klimalı,14.25376613405651,adana,13.0,Boş,1,0,1.0
95.0,120.0,3.0,6.Kat,0,0.0,Kombi Doğalgaz,14.71770277113836,adana,14.0,Boş,1,0,2.0
120.0,130.0,4.0,18.Kat,0,1.0,Kombi Doğalgaz,14.845130332288226,adana,3.0,Boş,1,0,2.0
148.0,167.0,4.0,8.Kat,0,3.0,Kombi Doğalgaz,14.637491049927531,adana,11.0,Boş,0,1,1.0
115.0,150.0,4.0,21.Kat,0,5.0,Klimalı,14.914123179965662,adana,2.0,Mülk Sahibi Oturuyor,1,0,2.0
130.0,185.0,5.0,Yüksek Giriş,0,3.0,Kombi Doğalgaz,14.897316067298997,adana,15.0,Boş,1,0,2.0
100.0,135.0,3.0,3.Kat,0,5.0,Kombi Doğalgaz,14.637491049927531,adana,4.0,Boş,1,0,1.0
70.0,486.0,3.0,40+.Kat,0,2.0,Klimalı,15.201805169084132,adana,3.0,Boş,1,0,2.0
120.0,150.0,4.0,Düz Giriş (Zemin),0,4.0,Kombi Doğalgaz,14.557448378884017,adana,4.0,Kiracı Oturuyor,0,0,1.0
90.0,110.0,3.0,5.Kat,0,3.0,Kombi Doğalgaz,14.207553321415745,adana,10.0,Mülk Sahibi Oturuyor,0,1,1.0
120.0,155.0,4.0,3.Kat,0,1.0,Kombi Doğalgaz,15.068273812173883,adana,12.0,Boş,0,0,2.0
190.0,200.0,5.0,Yüksek Giriş,0,3.0,Kombi Doğalgaz,14.930652476452392,adana,11.0,Boş,0,1,2.0
90.0,110.0,3.0,10.Kat,0,2.0,Kombi Doğalgaz,14.855787622976248,adana,10.0,Mülk Sahibi Oturuyor,1,0,1.0
90.0,111.0,4.0,1.Kat,0,0.0,Kombi Doğalgaz,14.096923772119156,adana,5.0,Boş,1,1,1.0
90.0,130.0,3.0,Yüksek Giriş,0,2.0,Kombi Doğalgaz,14.48334044336031,adana,12.0,Boş,1,0,1.0
